gene_name	source
SUMO2	retrogeneDB2-retrocopy
SCOC	retrogeneDB2-retrocopy
HNRNPC	retrogeneDB2-retrocopy
PRKCI	retrogeneDB2-retrocopy
YRDC	retrogeneDB2-retrocopy
CENPN	retrogeneDB2-retrocopy
FAM213A	retrogeneDB2-retrocopy
NDUFB1	retrogeneDB2-retrocopy
CYP51A1	retrogeneDB2-retrocopy
PGGT1B	retrogeneDB2-retrocopy
SUB1	retrogeneDB2-retrocopy
PTPN2	retrogeneDB2-retrocopy
TRMT1	retrogeneDB2-retrocopy
TMED2	retrogeneDB2-retrocopy
SNX5	retrogeneDB2-retrocopy
MAD2L1	retrogeneDB2-retrocopy
CTDNEP1	retrogeneDB2-retrocopy
ITPK1	retrogeneDB2-retrocopy
SUPT4H1	retrogeneDB2-retrocopy
U2AF1	retrogeneDB2-retrocopy
TXNDC17	retrogeneDB2-retrocopy
PSMC2	retrogeneDB2-retrocopy
ILF2	retrogeneDB2-retrocopy
ACAA2	retrogeneDB2-retrocopy
TPM4	retrogeneDB2-retrocopy
OAT	retrogeneDB2-retrocopy
FYTTD1	retrogeneDB2-retrocopy
PDIA3	retrogeneDB2-retrocopy
PCED1A	retrogeneDB2-retrocopy
OOSP1	retrogeneDB2-retrocopy
DEPDC1	retrogeneDB2-retrocopy
GPS2	retrogeneDB2-retrocopy
WDR45B	retrogeneDB2-retrocopy
MSL3	retrogeneDB2-retrocopy
CLNS1A	retrogeneDB2-retrocopy
UBA52	retrogeneDB2-retrocopy
NUDT15	retrogeneDB2-retrocopy
CHP1	retrogeneDB2-retrocopy
GM2A	retrogeneDB2-retrocopy
TMEM167A	retrogeneDB2-retrocopy
NUDC	retrogeneDB2-retrocopy
CLTA	retrogeneDB2-retrocopy
COPS8	retrogeneDB2-retrocopy
ZNF655	retrogeneDB2-retrocopy
SNX19	retrogeneDB2-retrocopy
LSM2	retrogeneDB2-retrocopy
PTGR1	retrogeneDB2-retrocopy
HSPB1	retrogeneDB2-retrocopy
TMEM14C	retrogeneDB2-retrocopy
KIAA1143	retrogeneDB2-retrocopy
MEIS3	retrogeneDB2-retrocopy
ARPC1A	retrogeneDB2-retrocopy
ACTR2	retrogeneDB2-retrocopy
NDUFB5	retrogeneDB2-retrocopy
RNF2	retrogeneDB2-retrocopy
ESRRA	retrogeneDB2-retrocopy
SNRPB2	retrogeneDB2-retrocopy
SLC25A1	retrogeneDB2-retrocopy
DYNLT3	retrogeneDB2-retrocopy
LSM6	retrogeneDB2-retrocopy
CHMP5	retrogeneDB2-retrocopy
STRADB	retrogeneDB2-retrocopy
CCDC86	retrogeneDB2-retrocopy
SYNGR2	retrogeneDB2-retrocopy
AGK	retrogeneDB2-retrocopy
SLIRP	retrogeneDB2-retrocopy
ZBTB8OS	retrogeneDB2-retrocopy
METTL5	retrogeneDB2-retrocopy
CAP1	retrogeneDB2-retrocopy
SF3A3	retrogeneDB2-retrocopy
RAB1A	retrogeneDB2-retrocopy
AC110615.1	retrogeneDB2-retrocopy
PRKRA	retrogeneDB2-retrocopy
ARPP19	retrogeneDB2-retrocopy
DSTN	retrogeneDB2-retrocopy
UCHL1	retrogeneDB2-retrocopy
SRP72	retrogeneDB2-retrocopy
POLR3G	retrogeneDB2-retrocopy
PSMA6	retrogeneDB2-retrocopy
ERH	retrogeneDB2-retrocopy
NHP2	retrogeneDB2-retrocopy
RPL26L1	retrogeneDB2-retrocopy
IPMK	retrogeneDB2-retrocopy
BIN2	retrogeneDB2-retrocopy
THEM4	retrogeneDB2-retrocopy
TMA16	retrogeneDB2-retrocopy
STRAP	retrogeneDB2-retrocopy
HSBP1	retrogeneDB2-retrocopy
BZW1	retrogeneDB2-retrocopy
PAFAH1B1	retrogeneDB2-retrocopy
CLIC4	retrogeneDB2-retrocopy
GYG1	retrogeneDB2-retrocopy
NIP7	retrogeneDB2-retrocopy
YWHAQ	retrogeneDB2-retrocopy
COX7A2	retrogeneDB2-retrocopy
BAK1	retrogeneDB2-retrocopy
CIR1	retrogeneDB2-retrocopy
DNAJC17	retrogeneDB2-retrocopy
PSMD7	retrogeneDB2-retrocopy
PABPC4	retrogeneDB2-retrocopy
SRM	retrogeneDB2-retrocopy
GATC	retrogeneDB2-retrocopy
ADI1	retrogeneDB2-retrocopy
RWDD4	retrogeneDB2-retrocopy
PRDX6	retrogeneDB2-retrocopy
PSMB5	retrogeneDB2-retrocopy
C11orf58	retrogeneDB2-retrocopy
RPS18	retrogeneDB2-retrocopy
C2orf15	retrogeneDB2-retrocopy
PIP5K1A	retrogeneDB2-retrocopy
PTCD2	retrogeneDB2-retrocopy
EIF4A2	retrogeneDB2-retrocopy
H2AFV	retrogeneDB2-retrocopy
ACBD7	retrogeneDB2-retrocopy
CS	retrogeneDB2-retrocopy
SHISA5	retrogeneDB2-retrocopy
C1QBP	retrogeneDB2-retrocopy
WASF2	retrogeneDB2-retrocopy
HSP90AA1	retrogeneDB2-retrocopy
PPA1	retrogeneDB2-retrocopy
DNAJC15	retrogeneDB2-retrocopy
TCEB2	retrogeneDB2-retrocopy
YY1	retrogeneDB2-retrocopy
LSM5	retrogeneDB2-retrocopy
WBP1	retrogeneDB2-retrocopy
HSP90AB1	retrogeneDB2-retrocopy
TMEM126A	retrogeneDB2-retrocopy
CCT6A	retrogeneDB2-retrocopy
BRD7	retrogeneDB2-retrocopy
MYL6	retrogeneDB2-retrocopy
ACTR3	retrogeneDB2-retrocopy
NDUFB10	retrogeneDB2-retrocopy
SSB	retrogeneDB2-retrocopy
